PlayerID,PlayerName,WR_ID
1509,Vladimir Krivolapov,240640
1510,Frode Pedersen Bore,
1511,Frits Kverneland,
1512,Erlend Asbjørnsen,
1513,Jone Bjerkreim Kleppa,
1514,Jon Arnt Kårstad,
1515,Aleksander Ree,
1516,Erik Thorsen,
1517,Jostein Thorsen,
1518,Jostein Eide,
1519,Akmal Muhammed,
1520,Ole Martin Sandland,
1521,Havard Klippen,
1522,Tatiana Evdokimova,
1523,Goran Agdur,
1524,Kristoffer Refsnes,
1525,Gustav Brådland,
1527,Geir Hjemås,220370
1528,Siarhei Vazhnik,660886
1529,Skjæveland Runar,
